Time,Thermistor Temperature,Thermocouple Temperature,Thermistor Response,Thermocouple Response
0,48.457,48.418,48.457,48.418
1.002568,47.389,46.484,47.06318374,47.05814709
2.005144,46.321,44.551,45.74212386,45.77184907
3.00772,45.253,43.262,44.49003277,44.5551373
4.01028,43.117,41.328,43.30332826,43.40426516
5.01284,43.117,40.684,42.17857728,42.31565203
6.0154,42.049,39.395,41.11254545,41.28592986
7.017968,39.914,38.75,40.10215941,40.31190527
8.020528,38.846,38.105,39.1445298,39.39058028
9.023096,36.71,36.816,38.2368875,38.51908966
10.025656,36.71,36.816,37.37663695,37.69475105
11.028224,36.71,35.527,36.56129062,36.91500083
12.030832,35.642,35.527,35.78848087,36.17740466
13.03344,37.778,34.883,35.05601859,35.47971226
14.036064,33.506,34.883,34.3617865,34.81975462
15.038672,33.506,33.594,33.70381021,34.19551076
16.04128,32.438,32.949,33.08018607,33.60503835
17.04388,32.438,32.949,32.48912518,33.04651469
18.04648,32.438,31.66,31.92892263,32.51820678
19.049088,31.37,32.305,31.39796323,32.01847611
20.051696,31.37,31.66,30.89472458,31.54578075
21.054304,28.166,31.016,30.41775941,31.0986581
22.056912,29.234,30.371,29.96569602,30.67572467
23.059528,29.234,30.371,29.53723099,30.27566874
24.062136,31.37,30.371,29.13113893,29.89725884
25.064744,30.302,29.727,28.74624844,29.53932082
26.067344,29.234,29.727,28.38145546,29.2007498
27.069944,27.098,29.082,28.03570773,28.88049524
28.072544,27.098,29.082,27.70801093,28.57756624
29.075152,27.098,29.727,27.39742024,28.29102328
30.077768,28.166,28.437,27.10304283,28.01998012
31.080376,27.098,28.437,26.8240368,27.76360243
32.082992,27.098,28.437,26.55959528,27.52109283
33.085608,26.03,27.793,26.30896004,27.29170305
34.088208,26.03,27.793,26.07141396,27.07472666
35.090816,26.03,27.793,25.84626802,26.86948696
36.093432,27.098,27.793,25.63287503,26.67534917
37.096048,26.03,27.148,25.43062311,26.49171427
38.098648,27.098,26.504,25.23893359,26.31801675
39.101256,24.962,27.148,25.05725045,26.15371487
40.103864,24.962,26.504,24.88505277,25.99830168
41.106472,26.03,26.504,24.72184532,25.85129631
42.10908,26.03,26.504,24.56715874,25.7122439
43.11168,24.962,25.859,24.4205493,25.58071521
44.114288,26.03,26.504,24.28159302,25.45630117
45.116896,24.962,26.504,24.14989148,25.3386179
46.119504,24.962,25.859,24.02506591,25.22730126
47.122104,24.962,25.215,23.90675826,25.12200765
48.124712,24.962,24.57,23.79462639,25.02240958
49.127328,23.894,25.859,23.68834797,24.92819901
50.129952,22.826,25.859,23.58761747,24.83908455
51.132568,22.826,25.215,23.49214682,24.7547919
52.135168,22.826,25.215,23.40166201,24.67506073
53.137776,23.894,23.926,23.31590061,24.59964238
54.140392,23.894,25.215,23.23461607,24.52830359
55.143,21.759,25.215,23.15757594,24.46082476
56.145608,21.759,24.57,23.08455797,24.39699653
57.148224,19.623,24.57,23.01535165,24.33662091
58.15084,22.826,24.57,22.94975854,24.27951163
59.153464,21.759,24.57,22.88758951,24.22549156
60.15608,21.759,23.926,22.82866675,24.17439439
61.158688,20.691,23.926,22.77282074,24.12606197
62.161312,21.759,23.926,22.71988956,24.08034361
63.163928,21.759,24.57,22.66972228,24.03709898
64.166536,20.691,23.926,22.62217457,23.9961942
65.169144,22.826,23.926,22.57710927,23.95750237
66.171752,20.691,23.926,22.53439677,23.92090375
67.17436,20.691,23.926,22.49391424,23.88628511
68.176976,20.691,23.281,22.45554495,23.85353908
69.1796,19.623,24.57,22.41917862,23.82256437
70.182208,21.759,23.281,22.38471149,23.79326587
71.184816,21.759,23.926,22.35204384,23.76555241
72.187416,20.691,23.281,22.32108198,23.73933844
73.190024,20.691,23.926,22.29173636,23.71454244
74.19264,21.759,23.281,22.26392262,23.69108772
75.195248,19.623,23.281,22.23756122,23.66890207
76.197872,21.759,23.281,22.21257573,23.64791634
77.200504,20.691,23.926,22.18889453,23.62806579
78.203112,20.691,23.281,22.16645026,23.60928961
79.20572,19.623,23.281,22.14517777,23.59152923
80.208328,20.691,23.281,22.12501589,23.57472967
81.210936,21.759,,22.10590665,
